fitness,iteration
624371,0
624889,1
625216,2
625888,3
633433,4
633778,5
635509,6
635970,7
636301,8
636746,9
636950,10
637604,11
638095,12
646564,13
647138,14
647463,15
657237,16
657483,17
657714,18
658084,19
658296,20
658361,21
658600,22
658900,23
659271,24
659741,25
659755,26
659971,27
659995,28
660439,29
660823,30
661328,31
661489,32
661646,33
662071,34
662696,35
663300,36
673071,37
673401,38
673602,39
673918,40
674556,41
674617,42
674768,43
674939,44
674966,45
675001,46
675506,47
676076,48
676350,49
676391,50
676574,51
676775,52
677290,53
677751,54
677778,55
677801,56
677855,57
677863,58
678367,59
678640,60
679169,61
679792,62
680496,63
680704,64
681076,65
681239,66
681725,67
681913,68
682178,69
682819,70
683002,71
683186,72
683536,73
683872,74
684457,75
684810,76
685275,77
685565,78
686031,79
686226,80
686377,81
686593,82
686756,83
687212,84
687387,85
687776,86
688228,87
688288,88
688657,89
689316,90
689665,91
690263,92
698695,93
699207,94
699568,95
699760,96
699958,97
700279,98
700309,99
700344,100
700386,101
700397,102
700486,103
700556,104
700940,105
701259,106
701443,107
701809,108
701837,109
702347,110
702883,111
703277,112
703539,113
703721,114
703764,115
703787,116
703815,117
703972,118
704313,119
704490,120
704785,121
705256,122
705457,123
705457,124
705836,125
705991,126
706049,127
706388,128
706827,129
707120,130
707182,131
707599,132
707778,133
708121,134
708648,135
709639,136
709900,137
709947,138
710416,139
710649,140
710703,141
710863,142
711196,143
711528,144
711898,145
712119,146
712285,147
712464,148
712660,149
712682,150
712964,151
712983,152
713235,153
713563,154
713718,155
714102,156
714174,157
714606,158
714984,159
715236,160
715318,161
715667,162
716169,163
716441,164
716675,165
716751,166
716907,167
717231,168
717531,169
717741,170
718020,171
718505,172
718772,173
718904,174
719190,175
719708,176
720309,177
720628,178
721008,179
721310,180
721940,181
722118,182
722396,183
722588,184
722778,185
722925,186
722935,187
723038,188
723132,189
723303,190
723580,191
723772,192
723923,193
724110,194
724114,195
724388,196
731236,197
731567,198
731716,199
739806,200
740215,201
740506,202
746820,203
746996,204
747160,205
747470,206
747782,207
748153,208
748302,209
748530,210
760041,211
760451,212
760532,213
760860,214
760860,215
760990,216
761039,217
761165,218
761210,219
761545,220
761621,221
761811,222
762097,223
