fitness,iteration
18709001,0
18709465,1
18709552,2
18710208,3
18711416,4
18752161,5
18752538,6
18786551,7
18787496,8
18787544,9
18787634,10
18788447,11
18788760,12
18816301,13
18816890,14
18817779,15
18818408,16
18818774,17
18818847,18
18819826,19
18820123,20
18820205,21
18820205,22
18820869,23
18821505,24
18822100,25
18822397,26
18823445,27
18823852,28
18824722,29
18825035,30
18825421,31
18825708,32
18826404,33
18826467,34
18826763,35
18827482,36
18827526,37
18827904,38
18828026,39
18828881,40
18829170,41
18830254,42
18830587,43
18830707,44
18831346,45
18831898,46
18832542,47
18833141,48
18833144,49
18833756,50
18833827,51
18899672,52
18929308,53
18929377,54
18929810,55
18930151,56
18930537,57
18930875,58
18931444,59
18931991,60
18933379,61
18934336,62
18935240,63
18935850,64
18935858,65
18936209,66
18936877,67
18938305,68
18938839,69
18939501,70
18940390,71
18940931,72
18941510,73
18941928,74
18942021,75
18942432,76
18942807,77
18943171,78
18943823,79
18944665,80
18945212,81
18946072,82
18946689,83
18946956,84
18948221,85
18948524,86
18949129,87
18949166,88
18949252,89
18949594,90
18950403,91
18950856,92
18951647,93
18951731,94
18952567,95
18952877,96
18953741,97
18954683,98
18955216,99
18955597,100
18981134,101
18981975,102
18982340,103
18982410,104
18982948,105
18983404,106
18984285,107
18984819,108
18985105,109
18985744,110
18986251,111
18986551,112
19017678,113
19017683,114
19017755,115
19018428,116
19018788,117
19019602,118
19021051,119
19021420,120
19022621,121
19022895,122
19023532,123
19024228,124
19024277,125
19024277,126
19025192,127
19025503,128
19026070,129
19026112,130
19026732,131
19026865,132
19027472,133
19028014,134
19028029,135
19028385,136
19028986,137
19029351,138
19029947,139
19030515,140
19030832,141
19031191,142
19032203,143
19032364,144
19032824,145
19033716,146
19034095,147
19034137,148
19034478,149
19035336,150
19035340,151
19035885,152
19036454,153
19036800,154
19036875,155
19036892,156
19037496,157
19037545,158
19037890,159
19038471,160
19039946,161
19040793,162
19040880,163
19041262,164
19042178,165
19042500,166
19043029,167
19043111,168
19044025,169
19044361,170
19044443,171
19045022,172
19045591,173
19045877,174
19046550,175
19046897,176
19047506,177
19048039,178
19048958,179
19049510,180
19049871,181
19050132,182
19050750,183
19051323,184
19051627,185
19051959,186
19052836,187
19053169,188
19054061,189
19054722,190
19055337,191
19055372,192
19056008,193
19056353,194
19056895,195
19057203,196
19057504,197
19057873,198
19058151,199
19058395,200
19058957,201
19088765,202
19089566,203
19090613,204
19091229,205
19092106,206
19092115,207
19092645,208
19092725,209
19093308,210
19093992,211
19094350,212
19095771,213
19095861,214
19096455,215
19097319,216
19098529,217
19099159,218
19099807,219
19099966,220
19100571,221
19101449,222
19101708,223
19102367,224
19103191,225
19103242,226
19104082,227
19104088,228
19104396,229
19138437,230
19139381,231
19139671,232
19140537,233
19141656,234
19142580,235
19143264,236
19143572,237
19143942,238
19144475,239
19145217,240
19145543,241
19145871,242
19147051,243
19148553,244
19149207,245
19149227,246
19150131,247
19151533,248
19151678,249
19152323,250
19152644,251
19153008,252
19154494,253
19155641,254
19191963,255
19192349,256
19192671,257
19192988,258
19193605,259
19194476,260
19195091,261
19195625,262
19195649,263
19196013,264
19196599,265
19197704,266
19198342,267
19198698,268
19198770,269
19199154,270
19199192,271
19199895,272
19200825,273
19201523,274
19201550,275
19201583,276
19202447,277
19202465,278
19203125,279
19203765,280
19238074,281
19238414,282
19239089,283
19239536,284
19239877,285
19240458,286
19280130,287
19280407,288
19281335,289
19282054,290
19282347,291
19283072,292
19283081,293
19283145,294
19283477,295
19284394,296
19284452,297
19285001,298
19285347,299
19285383,300
19285926,301
19285972,302
19312633,303
19313325,304
19313915,305
19313931,306
19314647,307
19315196,308
19315638,309
19316243,310
19316956,311
19317625,312
19318026,313
19318325,314
19318413,315
19319022,316
19319360,317
